course,author,rating,reviews,hours,lessons,level,price
Practical SQL Skills,Gary Kind,"4,2",178,25,29,Todos los niveles,"14,99"
The Complete MySQL Bootcamp: From SQL Beginner to Expert,Vertex Academy,"4,6",173,8,92,Principiante,"14,99"
Oracle 12c SQL Tuning - the Ultimate Guide,Ahmed Baraka,"4,6",171,20,86,Intermedio,"29,99"
SQL From Scratch Using Oracle SQL Developer and TOAD,247 Learning,"4,2",171,10,106,Principiante,"14,99"
"SQL for EVERYBODY! FUN, EASY, FAST! 2020",Carlyle Frank,"4,0",170,25,24,Principiante,"14,99"
SQL/ETL Developer - T-SQL/Stored Procedures/ETL/SSIS,Bluelime Learning Solutions,"4,1",164,65,72,Principiante,"14,99"
SAS SQL for the SAS Programmer/Analyst,Ermin Dedic,"4,3",156,15,29,Principiante,"14,99"
Microsoft SQL for Beginners (SQL Server and T-SQL),Vimal Vachhani,"3,9",155,2,39,Principiante,"14,99"
The SQL MicroDegree 2021: From SQL Basics To MySQL Mastery,Abhishek Pughazh,"4,5",151,45,85,Todos los niveles,"14,99"
Learn SQL with ease,Marco Eder,"4,6",148,2,45,Principiante,"14,99"
SQL For  Databases : A Beginner's Quick Introduction,Bluelime Learning Solutions,"4,7",143,25,25,Principiante,"14,99"
Learn SQL Made Simple,Prem K,"2,9",140,15,25,Principiante,"14,99"
SQL for Beginners with Microsoft SQL Server Database,Anil Batra,"4,6",138,25,26,Principiante,"14,99"
SQL Database for Beginners,Framework Television Inc.,"4,2",138,65,56,Principiante,"14,99"
Oracle Database 12c Certified Professional - SQL Foundations,Infinite Skills,"4,6",125,55,76,Principiante,"14,99"
Learn to Build SQL Query| Ultimate SQL and DataBase Concepts,Jazeb Akram,"4,1",123,25,32,Principiante,"14,99"
Web Development with Django,Sara Al-Arab,"4,1",122,55,30,Principiante,"14,99"
Introduction to SQL Databases - SQL for Beginners,David Medlock,"4,3",119,8,64,Principiante,"14,99"
Database Management Systems Part 3 : SQL Interview Course,Vignesh Sekar,"4,7",115,10,53,Todos los niveles,"14,99"
Beginners Data Analysis Bootcamp with SQL,Adnan Haroon,"4,4",113,35,70,Principiante,"14,99"
Building an Automated SQL Server Performance Tuning Engine,Mike West,"4,0",112,15,20,Intermedio,"14,99"
SQL and Data Visualization - The Complete Bootcamp,Raffi Sarkissian | SQL | PostgreSQL | Metabase,"4,4",108,55,54,Principiante,"14,99"
SQL - The Query Writing Bootcamp [2019],Mark Stephenson,"4,5",105,95,63,Todos los niveles,"14,99"
SQL For Beginners: Learn to communicate with databases,Bluelime Learning Solutions,"4,6",104,45,47,Principiante,"14,99"
Learn SQL Queries,Dave Merton,"4,4",104,45,67,Principiante,"14,99"
"SQL for beginners with :( PostgreSQL, MySQL, SQL Server )",Bluelime Learning Solutions,"4,4",101,8,78,Principiante,"14,99"
SQL and Database for Analysts - Increase your team value,Tom Gillies,"4,4",100,75,58,Principiante,"14,99"
SQL Server Database Administrator: Learn SQL DBA Skills,Bluelime Learning Solutions,"3,3",99,35,41,Principiante,"14,99"
SQL Loader - Learn in 22 Examples,Amarnath Reddy,"4,0",98,15,32,Principiante,"14,99"
Installing and Manipulating Oracle Database Using SQL,Skill Tree,"4,3",90,15,16,Principiante,"14,99"
Introduction to Relational Database and SQL,Jun Shan,"4,3",86,85,54,Principiante,"14,99"
SQL Queries 101,A. Morelan,"4,3",85,35,31,Principiante,"14,99"
SQL and Transact-SQL  (T-SQL)  For Beginners,Bluelime Learning Solutions,"4,3",83,2,26,Principiante,"14,99"
The complete SQL &amp; Python for SQL with Hands-on Questions,Shenggang Li,"4,0",77,155,241,Todos los niveles,"14,99"
Step By Step SQL ( MySQL ) *Best for Newbies* 100+Practice Q,Testing World,"4,4",72,75,81,Todos los niveles,"14,99"
Database Testing Using SQL Queries/MS Access,QAEversity .,"3,6",72,15,9,Todos los niveles,"14,99"
Beginner Data Analysis Using SQL and Microsoft SQL Server,Bluelime Learning Solutions,"3,9",72,3,40,Principiante,"14,99"
SQL Code Challenges: Use SQL to answer Business questions,Bluelime Learning Solutions,"4,3",69,3,35,Principiante,"14,99"
SQL for Beginners: Crash Course to Become Database Expert,ASquared LLC,"4,3",69,5,23,Todos los niveles,"14,99"
The Comprehensive SQL Course 2021,Malvik Vaghadia,"4,7",69,55,124,Todos los niveles,"14,99"
Introduction to SQL Window Functions,Bluelime Learning Solutions,"3,8",68,35,32,Principiante,"14,99"
SQL Interview | +150 SQL Interview Questions in 2020,Luke's Programming School,"3,7",68,15,16,Todos los niveles,"14,99"
SQL Query Writing for Beginners,Karen C,"3,9",68,3,28,Principiante,"14,99"
MySQL MariaDB From Scratch - Become an App Developer in 2021,"Edmund P Obiri, M.Tech","4,0",66,2,55,Todos los niveles,"14,99"
SQL-MySQL: 2021 Complete Master Bootcamp | Beginner - Expert,Donatus Obomighie,"4,3",65,205,634,Todos los niveles,"14,99"
SQL Basics for Beginners,Aslam Tayyab,"4,1",64,1,19,Todos los niveles,"14,99"
"SSAS Azure, Tabular SSAS, Data Migration, and Administration",Siddharth Mehta,"4,3",62,1,15,Principiante,"14,99"
Business Analyst - SQL Survival Guide,Daniel Gater,"4,7",61,25,19,Principiante,"14,99"
The Complete Introduction to SQL for Data Analytics,Vardges Zardaryan,"4,3",61,25,27,Todos los niveles,"14,99"
The Complete SQL Course 2021 - Learn by Doing - SQL Server,Daniel Tait,"4,5",61,11,100,Todos los niveles,"14,99"
SQL for Tech and Data Science Interviews,"365 Careers, Tina Huang","4,7",58,25,23,Todos los niveles,"14,99"
Oracle Database For Beginners,Srikanth Pragada,"4,5",58,9,29,Principiante,"14,99"
SQL: Master SQL With PhpMyAdmin and MYSQL Engine,Daniel McCarthy,"4,2",58,15,13,Principiante,"14,99"
The Complete Microsoft SQL Masterclass: Beginner to Expert,Sandeep Kumar,"4,6",57,11,210,Todos los niveles,"14,99"
"SQL for Data Science ,Oracle , MySQL, R and Python [2020]",Piyush S | insightEdge100.com,"4,3",56,45,61,Todos los niveles,"14,99"
Learn SQL Skills  Using PostgreSQL and MS SQL Server,Bluelime Learning Solutions,"4,6",54,12,128,Principiante,"14,99"
SQL - Master SQL Database Queries in Just 90 Minutes!,"MyExcelOnline John Michaloudis, Bryan Hong","4,5",54,15,16,Principiante,"14,99"
SQL DBA For Beginners,Skill Tree,"4,1",53,45,49,Principiante,"14,99"
Oracle 12 Cloud: Advanced SQL/PLSQL Hands-On,Zulqarnain Hayat,"4,0",53,3,37,Todos los niveles,"14,99"
SQL: Reporting and Analysis for beginners,Bluelime Learning Solutions,"4,1",52,35,35,Principiante,"14,99"
Applied SQL For Data Analytics / Data Science With BigQuery,Jeff James,"4,5",49,105,50,Principiante,"14,99"
"SQL Learn SQL 101, 202 and 303 all in 1 Course. 10X Learning",Rico Rodriguez,"4,6",48,2,24,Todos los niveles,"14,99"
Must Learn Skills for Testers[SQL+Unix+ShellScript+Jira+ALM],Testing World,"3,8",48,5,69,Todos los niveles,"14,99"
SQL Developer Tips and Tricks,Amarnath Reddy,"4,7",45,15,33,Principiante,"14,99"
Oracle Cloud: Basic Oracle SQL with hands on Experience,Zulqarnain Hayat,"4,6",44,4,76,Principiante,"14,99"
"Learn SQL, PHP-PDO, JavaScript and Bootstrap for web apps",Ali Mehdy,"4,1",43,75,96,Principiante,"14,99"
Diving into Data: SQL,MBASQL .com,"4,4",42,15,12,Todos los niveles,"14,99"
